Month,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),Station_Barisal,Station_Gazipur,Station_Habiganj,Station_Rangpur,Rainfall
0.36363636363636365,0.45514950166112944,0.5547945205479452,0.048301886792452835,0.1470588235294118,0.9,0.75,0.5357142857142857,0.4411764705882353,0.38133196743178494,0.0,0.0,0.0,1.0,1
0.36363636363636365,0.7209302325581395,0.7157534246575342,0.0,0.19607843137254904,0.76,0.67,0.7142857142857143,0.3897058823529412,0.45056610216516735,0.0,0.0,0.0,1.0,0
0.0,0.5548172757475082,0.3287671232876712,0.0,0.04901960784313726,0.9400000000000001,0.52,0.5892857142857143,0.3088235294117647,0.2778755962480392,1.0,0.0,0.0,0.0,0
0.1818181818181818,0.654485049833887,0.4383561643835616,0.0,0.19607843137254904,0.5700000000000001,0.39,0.8571428571428571,0.16176470588235295,0.47283670006722794,0.0,1.0,0.0,0.0,0
0.7272727272727273,0.8471760797342192,0.8630136986301369,0.14641509433962263,0.0,0.74,0.65,0.75,0.27941176470588236,0.4173042652410069,0.0,1.0,0.0,0.0,2
0.8181818181818182,0.7607973421926908,0.7808219178082191,0.0,0.1470588235294118,0.76,0.63,0.4732142857142857,0.4558823529411765,0.290851660957625,0.0,1.0,0.0,0.0,0
0.5454545454545454,0.7641196013289036,0.8424657534246575,0.001509433962264151,0.06862745098039216,0.74,0.7000000000000001,0.6964285714285714,0.41911764705882354,0.44113284459668556,0.0,1.0,0.0,0.0,1
0.9090909090909091,0.6943521594684383,0.5547945205479452,0.0,0.1470588235294118,0.78,0.51,0.7410714285714286,0.1911764705882353,0.329267642005741,0.0,1.0,0.0,0.0,0
0.9999999999999999,0.4983388704318936,0.339041095890411,0.0,0.09803921568627452,0.79,0.52,0.5357142857142857,0.338235294117647,0.23969437952855058,0.0,0.0,0.0,1.0,0
0.7272727272727273,0.8073089700996676,0.8356164383561643,0.0,0.09803921568627452,0.92,0.74,0.4910714285714286,0.49264705882352944,0.32685334805945937,1.0,0.0,0.0,0.0,0
0.0,0.5813953488372092,0.40410958904109584,0.0,0.09803921568627452,0.9400000000000001,0.5,0.5535714285714286,0.338235294117647,0.26709777934287326,1.0,0.0,0.0,0.0,0
0.5454545454545454,0.7807308970099667,0.8630136986301369,0.003018867924528302,0.18627450980392157,0.8,0.7000000000000001,0.6607142857142858,0.4485294117647059,0.42745248690121757,0.0,1.0,0.0,0.0,1
0.4545454545454545,0.8073089700996676,0.8287671232876712,0.0,0.19607843137254904,1.0,0.88,0.4017857142857143,0.6691176470588235,0.3965169510516375,0.0,0.0,1.0,0.0,0
0.7272727272727273,0.6877076411960132,0.8082191780821917,0.0,0.19607843137254904,0.91,0.77,0.5357142857142857,0.4558823529411765,0.3377405000480199,0.0,0.0,0.0,1.0,0
0.1818181818181818,0.8471760797342192,0.6986301369863013,0.0,0.2450980392156863,0.8,0.3,0.8482142857142857,0.17647058823529413,0.47158818068316416,1.0,0.0,0.0,0.0,0
0.1818181818181818,0.5083056478405316,0.3287671232876712,0.0,0.19607843137254904,0.6,0.45,0.7410714285714286,0.2573529411764706,0.42652410069255475,0.0,0.0,0.0,1.0,0
0.8181818181818182,0.5083056478405316,0.6815068493150684,0.0509433962264151,0.09803921568627452,0.9500000000000001,0.79,0.35714285714285715,0.5514705882352942,0.24847669964038374,0.0,0.0,0.0,1.0,1
0.4545454545454545,0.8604651162790695,0.8835616438356163,0.001509433962264151,0.19456730060445232,0.71,0.65,0.42857142857142855,0.6470588235294118,0.3411445828131169,0.0,1.0,0.0,0.0,1
0.09090909090909091,0.654485049833887,0.410958904109589,0.0,0.1470588235294118,0.8,0.41000000000000003,0.6071428571428571,0.3235294117647059,0.3247857775501275,0.0,1.0,0.0,0.0,0
0.09090909090909091,0.6943521594684383,0.42465753424657526,0.0,0.09803921568627452,0.88,0.46,0.5803571428571429,0.3455882352941177,0.32224605435861314,1.0,0.0,0.0,0.0,0
0.1818181818181818,0.7674418604651163,0.6232876712328766,0.0,0.19607843137254904,0.9,0.56,0.75,0.2573529411764706,0.434239310219718,1.0,0.0,0.0,0.0,0
0.0,0.5348837209302325,0.32191780821917804,0.0,0.04901960784313726,0.93,0.43,0.5982142857142857,0.3014705882352941,0.2805647149214073,1.0,0.0,0.0,0.0,0
0.0,0.40199335548172754,0.4452054794520547,0.0,0.04901960784313726,0.88,0.78,0.0,0.7941176470588236,0.09998826178356862,1.0,0.0,0.0,0.0,0
0.7272727272727273,0.8405315614617939,0.8356164383561643,0.13056603773584907,0.22549019607843138,0.96,0.84,0.32142857142857145,0.6323529411764706,0.26470185367779664,1.0,0.0,0.0,0.0,2
0.8181818181818182,0.6877076411960132,0.6815068493150684,0.0,0.19607843137254904,0.86,0.72,0.5625,0.3823529411764706,0.31877794495843603,0.0,0.0,0.0,1.0,0
0.4545454545454545,0.7275747508305646,0.9109589041095889,0.16981132075471697,0.1470588235294118,0.96,0.96,0.07142857142857144,0.9338235294117647,0.20284705103989928,1.0,0.0,0.0,0.0,2
0.1818181818181818,0.6843853820598007,0.5684931506849314,0.0,0.09803921568627452,0.8200000000000001,0.72,0.7678571428571428,0.23529411764705885,0.4377927884666688,0.0,0.0,1.0,0.0,0
0.4545454545454545,0.7674418604651163,0.7260273972602739,0.0,0.1470588235294118,0.91,0.67,0.4821428571428572,0.6029411764705882,0.36173981709724573,0.0,1.0,0.0,0.0,0
