Month,Max Temp. (degree Celcius),Min Temp. (degree Celcius),Rainfall (mm),Actual Evaporation (mm),"Relative Humidity (morning, %)","Relative Humidity (afternoon, %)",Sunshine (hour/day),Cloudy (hour/day),Solar Radiation (cal/cm^2/day),MAX_WL(m),MIN_WL(m),AVE_WL(m)
3,33.6,19.0,0.0,3.0,90,52.96153846153846,7.6,4.3,406.38,0.75,-0.18,0.33
3,31.8,20.8,0.0,2.0,95,59.0,6.9,5.0,384.11,0.71,-0.15,0.32
3,31.8,20.4,17.0,3.0,95,59.0,5.9,6.0,352.3,0.64,-0.13,0.29
3,28.6,20.8,0.0,2.0,95,59.0,4.8,7.1,317.3,0.63,-0.12,0.28
3,31.0,21.0,0.0,2.0,95,59.0,5.3,6.6,333.21,0.65,-0.1,0.26
3,29.0,22.0,8.6,3.6,95,16.0,0.9,11.0,193.23,0.68,-0.09,0.32
3,29.4,17.8,1.0,3.0,95,66.0,6.7,5.2,377.75,0.75,-0.16,0.34
3,31.8,19.0,22.0,2.0,95,52.96153846153846,6.4,5.5,368.21,0.84,-0.29,0.35
3,28.8,20.8,0.0,2.4,95,78.0,3.4,8.5,272.77,1.0,-0.25,0.46
3,29.0,20.0,0.0,2.0,95,79.0,4.8,7.1,317.3,1.08,-0.31,0.51
3,29.0,17.6,0.0,3.0,83,43.0,8.4,3.5,431.83,1.2,-0.3,0.57
3,29.8,16.2,0.0,2.0,94,44.0,8.7,3.2,441.38,1.14,-0.31,0.58
3,30.6,16.0,0.0,4.0,94,42.0,8.8,3.1,444.56,1.05,-0.34,0.52
3,31.0,16.0,0.0,2.0,89,42.0,8.3,3.6,428.65,0.92,-0.33,0.46
3,32.4,16.8,0.0,3.0,95,52.96153846153846,7.0,4.9,387.29,0.81,-0.31,0.38
3,30.4,19.4,14.0,4.0,95,47.0,3.5,8.4,275.95,0.7,-0.27,0.32
3,32.4,19.0,4.4,3.4,95,47.0,8.0,3.9,419.11,0.55,-0.25,0.24
3,22.6,20.0,1.2,2.2,95,80.0,0.5,11.4,180.51,0.44,-0.21,0.22
3,29.8,16.2,0.0,3.0,94,47.0,8.5,3.4,435.01,0.43,-0.28,0.18
3,32.0,17.0,0.0,3.0,95,55.0,8.0,3.9,419.11,0.45,-0.19,0.19
3,32.8,18.0,0.0,2.0,90,47.0,8.1,3.8,422.29,0.47,-0.17,0.18
3,33.6,21.0,0.0,3.0,95,52.96153846153846,7.3,4.6,396.84,0.54,-0.13,0.21
3,34.4,21.6,0.0,3.0,95,49.0,7.5,4.4,403.2,0.6,-0.11,0.23
3,32.6,21.4,0.0,3.0,90,45.0,7.7,4.2,409.56,0.68,-0.07,0.3
3,33.4,22.6,0.0,2.0,95,49.0,7.4,4.5,400.02,0.8,-0.03,0.41
3,31.4,23.6,0.0,3.0,95,57.0,6.6,5.3,374.57,0.91,0.0,0.51
3,32.4,24.0,0.0,3.0,96,63.0,6.2,5.7,361.84,1.98,0.03,0.96
3,32.2,24.8,0.0,3.0,91,59.0,8.9,3.0,447.74,2.02,0.05,1.15
3,31.119999999999997,25.8,0.0,4.0,91,52.96153846153846,8.4,3.5,431.83,1.99,0.08,1.17
4,32.8,26.0,0.0,4.0,9,61.0,8.7,3.9,458.61,2.0,0.07,1.08
4,32.0,25.8,0.0,4.0,91,70.0,8.8,3.8,461.85,1.8,0.06,0.96
4,32.0,26.0,0.0,3.0,91,70.0,5.6,7.0,358.34,1.61,0.05,0.84
4,31.0,26.0,3.8,4.0,91,76.0,4.3,8.33,316.29,1.22,0.05,0.69
4,32.6,25.8,0.0,3.8,96,67.0,6.8,5.8,397.15,1.12,0.06,0.59
4,32.0,21.8,0.0,2.0,95,72.0,4.6,8.0,325.99,1.1,0.08,0.61
4,33.6,23.0,0.0,2.0,96,69.95833333333333,8.0,4.6,435.97,1.16,0.04,0.58
4,34.8,25.0,0.0,2.0,96,74.0,5.7,6.9,361.57,1.21,0.05,0.66
4,34.6,25.6,0.0,2.0,96,70.0,6.0,6.6,371.28,1.31,0.06,0.76
4,34.8,25.8,0.0,3.0,96,65.0,6.2,6.4,377.75,1.45,0.08,0.84
4,34.0,25.8,0.0,2.0,96,67.0,7.7,4.9,426.26,1.39,-0.03,0.82
4,34.6,25.2,0.0,3.0,96,65.0,8.2,4.4,442.44,1.46,-0.11,0.79
4,35.2,24.2,0.0,4.0,96,62.0,9.0,3.6,468.31,1.4,-0.1,0.81
4,35.4,22.8,0.0,4.0,96,69.95833333333333,8.5,4.1,452.14,1.7,-0.1,0.95
4,34.4,23.4,0.0,3.0,96,62.0,8.9,3.7,465.05,1.55,0.01,0.96
4,32.4,24.0,0.0,2.0,96,67.0,6.0,6.6,371.28,1.54,0.23,1.08
4,34.0,22.0,0.0,3.0,96,54.0,8.8,3.8,461.85,1.15,0.1,0.77
4,34.6,22.0,0.0,4.0,96,62.0,8.9,3.7,465.08,1.2,0.13,0.78
4,32.0,25.4,66.4,3.4,96,69.0,3.7,8.9,296.88,1.13,0.2,0.75
4,32.4,21.4,7.2,4.2,91,70.0,6.0,6.6,371.28,1.05,0.6,0.81
4,30.8,22.8,56.4,3.4,100,69.95833333333333,2.5,10.1,258.07,1.18,0.45,0.85
4,26.6,21.0,104.4,3.4,96,86.0,0.4,12.2,190.14,1.57,0.51,1.06
4,29.2,20.0,41.4,3.4,96,92.0,1.8,10.8,235.42,1.68,0.4,1.0
4,26.2,20.4,34.2,2.2,100,90.0,1.0,11.6,209.55,1.95,0.39,1.25
4,32.0,20.4,0.0,4.0,95,63.0,8.4,4.2,448.91,2.0,0.5,1.32
4,33.0,26.4,0.0,3.0,96,74.0,7.4,5.2,416.56,2.06,0.57,1.43
4,34.4,26.6,2.4,4.4,96,71.0,8.0,4.6,435.97,2.1,0.43,1.38
4,35.0,26.6,0.0,3.0,96,69.95833333333333,7.7,4.9,426.26,2.12,0.32,1.32
4,34.8,26.8,0.0,5.0,0,69.95833333333333,9.3,3.3,478.08,1.88,0.24,1.25
4,34.4,25.8,5.2,5.2,80,69.95833333333333,9.0,3.6,468.31,1.65,0.18,1.14
5,34.4,2.6,5.0,5.0,95,62.0,9.2,4.0,486.25,1.29,0.17,0.91
5,33.6,20.8,0.0,3.0,95,59.0,9.3,3.9,489.5,1.15,0.14,0.73
5,35.0,23.0,0.0,3.0,96,59.0,8.8,4.4,473.23,1.04,0.19,0.7
5,35.2,26.0,0.0,2.0,96,62.0,9.3,3.9,489.5,1.03,0.23,0.74
5,34.4,26.2,0.0,4.0,96,65.74074074074075,6.9,6.3,411.38,1.1,0.34,0.76
5,33.6,26.6,0.0,5.0,92,62.0,9.9,3.3,509.03,1.3,0.26,0.88
5,34.6,26.6,0.0,5.0,92,62.0,9.8,3.4,505.78,1.53,0.28,0.99
5,35.0,26.6,0.0,3.0,96,62.0,9.8,3.4,505.78,1.58,0.25,1.02
5,35.0,26.4,28.2,4.0,96,71.0,6.2,7.0,388.6,1.68,0.24,1.05
5,34.2,23.0,0.0,3.0,96,74.0,8.5,4.7,463.46,1.71,0.2,1.07
5,35.4,23.8,1.2,3.2,96,65.0,9.2,4.0,486.25,1.75,0.23,1.07
5,31.0,25.0,0.0,3.0,96,65.74074074074075,9.3,3.9,489.5,1.62,0.21,1.0
