Month,Avg Max Temp. (degree Celcius),Avg Min Temp. (degree Celcius),Avg Rainfall (mm),Avg Actual Evaporation (mm),"Avg Relative Humidity (morning, %)","Avg Relative Humidity (afternoon, %)",Avg Sunshine (hour/day),Avg Cloudy (hour/day),Avg Solar Radiation (cal/cm^2/day),AVE_WL(m)
7,32.53333333333333,26.933333333333334,0.16666666666666666,3.3333333333333335,91.66666666666667,75.66666666666667,3.3333333333333335,10.066666666666668,294.93333333333334,1.88
10,34.800000000000004,26.133333333333336,1.0,3.3333333333333335,91.0,71.33333333333333,6.933333333333334,4.666666666666667,348.6033333333333,1.48
3,35.199999999999996,22.133333333333336,11.0,3.6666666666666665,90.0,44.0,8.1,3.8000000000000003,422.28999999999996,0.46
3,28.733333333333334,20.333333333333332,0.0,2.6666666666666665,85.66666666666667,62.666666666666664,7.966666666666666,3.9333333333333336,418.0466666666667,0.1
2,30.333333333333332,15.533333333333333,0.0,2.3333333333333335,92.66666666666667,46.69444444444445,8.433333333333332,2.766666666666667,382.46000000000004,0.28
10,32.666666666666664,25.066666666666666,0.0,2.6666666666666665,87.33333333333333,61.666666666666664,7.466666666666666,4.133333333333333,364.13000000000005,0.92
4,31.03333333333333,21.400000000000002,7.066666666666666,3.6666666666666665,95.0,66.0,7.466666666666666,5.133333333333334,418.7166666666667,0.72
4,29.933333333333337,21.733333333333334,56.0,3.6666666666666665,95.66666666666667,75.31944444444444,2.966666666666667,9.633333333333333,273.1633333333333,1.14
8,30.933333333333337,25.666666666666668,8.285897435897438,3.266666666666667,96.0,72.0,3.3000000000000003,9.500000000000002,292.15000000000003,1.92
7,32.73333333333333,26.2,8.666666666666666,2.3333333333333335,91.0,72.85057471264368,4.1,9.3,319.62,2.27
7,30.400000000000002,25.133333333333336,19.033333333333335,2.3333333333333335,92.66666666666667,88.33333333333333,2.3333333333333335,11.066666666666668,262.73333333333335,1.68
2,30.333333333333332,13.666666666666666,0.0,2.6666666666666665,92.0,33.333333333333336,8.966666666666667,2.233333333333333,397.79333333333335,0.37
3,29.733333333333334,16.2,0.0,2.6666666666666665,80.33333333333333,57.0,8.366666666666665,3.533333333333333,430.77,0.85
10,31.966666666666665,25.333333333333332,1.4666666666666668,2.1333333333333333,94.33333333333333,65.66666666666667,4.833333333333333,6.766666666666666,287.48333333333335,0.81
10,32.8,23.733333333333334,2.6666666666666665,1.6666666666666667,90.33333333333333,69.66666666666667,6.8999999999999995,4.7,347.64000000000004,1.26
6,29.733333333333334,25.8,40.733333333333334,1.0,91.0,87.33333333333333,1.3333333333333333,12.166666666666666,232.17666666666665,1.65
11,29.46666666666667,18.066666666666666,0.0,1.6666666666666667,80.66666666666667,65.33333333333333,7.233333333333334,3.766666666666667,222.01666666666665,0.48
4,34.4,24.53333333333333,11.541666666666666,3.8000000000000003,84.0,59.333333333333336,7.5,5.1000000000000005,419.7966666666666,0.82
6,30.600000000000005,24.266666666666666,23.333333333333332,4.0,96.0,84.0,3.233333333333333,10.266666666666666,293.42333333333335,1.5
8,30.666666666666668,25.53333333333333,11.366666666666667,2.6666666666666665,92.66666666666667,83.33333333333333,2.533333333333333,10.266666666666667,266.8866666666667,1.37
4,35.86666666666667,23.066666666666666,0.0,5.0,87.0,44.666666666666664,9.366666666666667,3.233333333333333,480.1766666666667,0.8
7,32.26666666666667,26.599999999999998,0.0,2.6666666666666665,97.33333333333333,82.0,4.8999999999999995,8.5,345.37999999999994,1.69
6,31.2,26.400000000000002,7.533333333333334,2.733333333333333,96.0,85.33333333333333,3.233333333333333,10.200000000000001,292.2866666666667,1.55
5,36.4,28.333333333333332,0.0,3.6666666666666665,92.0,66.0,8.700000000000001,4.5,330.93533333333335,1.27
4,30.933333333333334,23.2,2.066666666666667,4.333333333333333,91.0,59.333333333333336,7.6000000000000005,5.0,423.03000000000003,0.85
2,28.46666666666667,14.466666666666669,0.0,2.6666666666666665,83.66666666666667,39.666666666666664,8.566666666666665,2.6333333333333333,386.2966666666666,0.49
